Date,AssetCode,AssetName,Market,Source,Open,High,Low,Close,Volume,Value
2026-02-02,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,342.3699951171875,356.1099853515625,341.8999938964844,352.69000244140625,7758000,
2026-02-02,^GSPC,S&P 500,US_INDEX,yfinance,6916.64013671875,6991.919921875,6914.33984375,6976.43994140625,5772050000,
2026-02-02,^IXIC,NASDAQ Composite,US_INDEX,yfinance,23370.5390625,23686.830078125,23356.400390625,23592.109375,8882530000,
2026-02-03,000660,SK Hynix,KR_STOCK,FinanceDataReader,874000.0,907000.0,871000.0,907000.0,5272538,
2026-02-03,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,157900.0,167500.0,157200.0,167500.0,36529813,
2026-02-03,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,197500.0,199300.0,191300.0,199300.0,1841243,
2026-02-03,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,1135.94,1144.4,1119.65,1144.33,1166572714,
2026-02-03,KRW=X,USD/KRW,FX,yfinance,1451.699951171875,1453.030029296875,1438.800048828125,1452.5400390625,0,
2026-02-03,KS11,KOSPI,KR_INDEX,FinanceDataReader,5114.81,5288.08,5101.31,5288.08,672610151,
2026-02-03,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,411.0299987792969,412.5799865722656,390.5199890136719,397.67999267578125,12188600,
2026-02-03,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,355.9100036621094,357.1199951171875,338.0899963378906,345.6400146484375,8371200,
2026-02-03,^GSPC,S&P 500,US_INDEX,yfinance,6985.4501953125,6993.080078125,6862.0498046875,6917.81005859375,7017660000,
2026-02-03,^IXIC,NASDAQ Composite,US_INDEX,yfinance,23667.439453125,23691.599609375,23027.2109375,23255.189453125,10306320000,
2026-02-04,000660,SK Hynix,KR_STOCK,FinanceDataReader,884000.0,906000.0,883000.0,900000.0,3800763,
2026-02-04,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,163500.0,169400.0,163100.0,169100.0,29943042,
2026-02-04,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,194000.0,208000.0,191900.0,202500.0,1487504,
